GCA_002763255.1	1974416	1974416	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG09_land_8_20_14_0_10_60_16	Candidatus_Micrarchaeota_archaeon_CG09_land_8_20_14_0_10_60_16_
GCA_002778455.1	1974417	1974417	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_45_29	Candidatus_Micrarchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_45_29_
GCA_002785565.1	1974418	1974418	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_54_18	Candidatus_Micrarchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_54_18_
GCA_002763205.1	1974420	1974420	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_60_32	Candidatus_Micrarchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_60_32_
GCA_001871475.1	1805247	1805247	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG1_02_47_40	Candidatus_Micrarchaeota_archaeon_CG1_02_47_40_
GCA_001871495.1	1805249	1805249	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG1_02_51_15	Candidatus_Micrarchaeota_archaeon_CG1_02_51_15_
GCA_001871595.1	1805250	1805250	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG1_02_55_22	Candidatus_Micrarchaeota_archaeon_CG1_02_55_22_
GCA_001871605.1	1805251	1805251	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG1_02_55_41	Candidatus_Micrarchaeota_archaeon_CG1_02_55_41_
GCA_001871655.1	1805252	1805252	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG1_02_60_51	Candidatus_Micrarchaeota_archaeon_CG1_02_60_51_
GCA_002792915.1	1974410	1974410	cellular organisms;Archaea;DPANN group;Candidatus Micrarchaeota;unclassified Candidatus Micrarchaeota;Candidatus Micrarchaeota archaeon CG_4_10_14_0_2_um_filter_60_11	Candidatus_Micrarchaeota_archaeon_CG_4_10_14_0_2_um_filter_60_11_
